Scott Medling,"Visiting Assistant Professor, Pomona College",pomona.edu,547,Condensed Matter Physics | Sustainable Energy,https://scholar.google.com/citations?hl=en&user=K3Q-FdkAAAAJ
Lenny M Seligman,"Professor of Biology, Pomona College",pomona.edu,543,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Zb3XPV4AAAAJ
Michael McGaha,"Professor of Modern Languages, Pomona College",pomona.edu,523,17th-century Spanish literature | Turkish literature | Jewish studies,https://scholar.google.com/citations?hl=en&user=Qz0_jREAAAAJ
Gary Kates,"Professor of History, Pomona College",pomona.edu,496,modern european intellectual,https://scholar.google.com/citations?hl=en&user=QoRpxb0AAAAJ
Pierangelo De Pace,"Professor of Economics, Pomona College",pomona.edu,478,Empirical Macroeconomics | Empirical Finance | Econometrics,https://scholar.google.com/citations?hl=en&user=aOVuhOoAAAAJ
Ori Amir,"Pomona College, University of Southern California",usc.edu,453,Visual Object Recognition | fMRI | Artificial Intelligence | Creativity | Humor,https://scholar.google.com/citations?hl=en&user=JB8mHVUAAAAJ
Feng Xiao,Pomona College,pomona.edu,400,Pragmatics | Chinese linguistics | Research methods,https://scholar.google.com/citations?hl=en&user=l7LPiHcAAAAJ
Megan Zirnstein,Pomona College,pomona.edu,382,Cognitive Psychology | Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=ttPewM4AAAAJ
David Menefee-Libey,"Professor of Politics, Pomona College",pomona.edu,382,Education politics and policy,https://scholar.google.com/citations?hl=en&user=qNIAydUAAAAJ
Thomas Yeh,"Visiting Assistant Professor, Pomona College",pomona.edu,336,computer architecture | machine learning acceleration | computer science education | real-time physics simulation,https://scholar.google.com/citations?hl=en&user=wUMvm-MAAAAJ
Malte F. Dold,Pomona College,pomona.edu,321,Behavioral Economics | Political Economy | Philosophy of Economics | History of Economic Thought | Ethics and Economics,https://scholar.google.com/citations?hl=en&user=MCIkLdsAAAAJ
Charlotte Chang,"Assistant Professor, Pomona College",pomona.edu,295,Conservation science | socio-ecological systems | quantitative ecology | tropical ecology,https://scholar.google.com/citations?hl=en&user=ZTPakfgAAAAJ
Eleanor Birrell,Pomona College,pomona.edu,289,Not Mentioned,https://scholar.google.com/citations?hl=en&user=DzS4K0IAAAAJ
Aimee Bahng,"Associate Professor of Gender and Women's Studies, Pomona College",Not Mentioned,247,Not Mentioned,https://scholar.google.com/citations?hl=en&user=M_8VcIEAAAAJ
Samuel Yamashita,Pomona College,pomona.edu,242,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ls5WhFEAAAAJ
Emiliano Huet-Vaughn,"Associate Professor of Economics, Pomona College",pomona.edu,242,public economics | political economy | behavioral economics | labor economics,https://scholar.google.com/citations?hl=en&user=wwfjCuMAAAAJ
Afsaneh NouriHoushyar,"… at College of Business Administration, California State Polytechnic University- Pomona",cpp.edu,213,Not Mentioned,https://scholar.google.com/citations?hl=en&user=9TfefWMAAAAJ
Shahriar Shahriari,"William Polk Russell Professor of Mathematics, Pomona College",pomona.edu,202,Combinatorics,https://scholar.google.com/citations?hl=en&user=R9M3fVAAAAAJ
Anthony J. Clark,"Assistant Professor, Pomona College",pomona.edu,194,robotics | autonomous system | evolutionary robotics | simulation | deep learning,https://scholar.google.com/citations?hl=en&user=jXXsUekAAAAJ
Ellie Anderson,"Assistant Professor of Philosophy, Pomona College",pomona.edu,188,continental philosophy | phenomenology | feminist philosophy | philosophy of love | existentialism,https://scholar.google.com/citations?hl=en&user=fxt20egAAAAJ
Jennifer Sweda,Gettysburg College and Pomona College,mymail.pomona.edu,172,psychology | facial contrast | aging | conditional regard | emotion regulation,https://scholar.google.com/citations?hl=en&user=wNWH6w0AAAAJ
