Kenneth Belanger,"Professor of Biology, Colgate University",colgate.edu,552,cell biology | molecular genetics | intracellular protein transport | microbiome ecology,https://scholar.google.com/citations?hl=en&user=njIdiG0AAAAJ
Alicia D. Simmons,"Associate Professor of Sociology, Colgate University",colgate.edu,517,Race and ethnicity | Mass communication | Politics | Public opinion | Research methods,https://scholar.google.com/citations?hl=en&user=Yq-BS7wAAAAJ
Valeria Rodríguez-Fajardo,"Postdoctoral fellow, Colgate University",colgate.edu,510,Structured light | OAM | Imaging,https://scholar.google.com/citations?hl=en&user=eNkNTskAAAAJ
Therese C. Frauendorf,Assistant Professor of Biology at Colgate University,colgate.edu,508,Freshwater Ecology | Anthropogenic Effects | Ecosystem Ecology,https://scholar.google.com/citations?hl=en&user=SCJeabAAAAAJ
Engda Hagos,"Professor of Biology, Colgate University",colgate.edu,490,Molecular | Cell | Cancer Biology,https://scholar.google.com/citations?hl=en&user=7JCHt4YAAAAJ
Martin Wong,Colgate University,colgate.edu,469,Extensional tectonics | thermochronology | Ar/Ar geochronology,https://scholar.google.com/citations?hl=en&user=Cvddz3AAAAAJ
Shijian Wu,"Colgate-Palmolive Company, Florida State University",my.fsu.edu,467,rheology | fluid dynamics | sphere sedimentation,https://scholar.google.com/citations?hl=en&user=D1u7rkIAAAAJ
Linda Y. Tseng,"Environmental Studies Program & Department of Physics and Astronomy, Colgate University",colgate.edu,460,microplastics | wastewater | extracellular polymeric substances (EPS),https://scholar.google.com/citations?hl=en&user=sFR62vcAAAAJ
Ronald A. Schwarz,"Colgate University, Williams College, Tulane University, The Johns Hopkins University",Not Mentioned,450,Anthropology | applied anthropology | public health | international development,https://scholar.google.com/citations?hl=en&user=i1O2GN4AAAAJ
Dominika Koter,"Associate Professor of Political Science, Colgate University",colgate.edu,448,Not Mentioned,https://scholar.google.com/citations?hl=en&user=SFYIr-IAAAAJ
Alexander Karn,"Associate Professor of History, Colgate University",colgate.edu,436,the politics of history | historical dialogue | historical justice | historical reconciliation,https://scholar.google.com/citations?hl=en&user=Yxlo3rUAAAAJ
John D Palmer,Colgate University,Not Mentioned,407,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xqUi7xkAAAAJ
Carolina Castilla,Colgate University,colgate.edu,396,Development Economics | Behavioral Economics | Intra-Household decision making,https://scholar.google.com/citations?hl=en&user=csmU_3IAAAAJ
Kwasi Konadu,"John D. and Catherine T. MacArthur Endowed Chair and Professor, Colgate University",colgate.edu,395,History of Africa | African world histories | cultural and social history,https://scholar.google.com/citations?hl=en&user=cklySWMAAAAJ
Elana Shever,Colgate University,colgate.edu,359,anthropology | materiality | science studies | corporations | capitalism,https://scholar.google.com/citations?hl=en&user=GbneRosAAAAJ
Matthew Luttig,Colgate University,colgate.edu,356,American politics,https://scholar.google.com/citations?hl=en&user=qTUrNbEAAAAJ
Aubreya Adams,"Associate Professor, Colgate University",colgate.edu,333,Seismology | Tectonics | Tomography | Earthquakes | Crust and Mantle Structure,https://scholar.google.com/citations?hl=en&user=IVr1MUsAAAAJ
