Chelmala Srinivasulu,"Associate Professor, Department of Zoology, Osmania University, Hyderabad, India",osmania.ac.in,3392,Wildlife and Conservation Biology | Animal Systematics and Taxonomy,https://scholar.google.com/citations?hl=en&user=nOrrJUMAAAAJ
Sreenivasulu Kurukuti,University of Hyderabad,uohyd.ac.in,3349,Laboratory of Dynamic Nucleus,https://scholar.google.com/citations?hl=en&user=LVujXxwAAAAJ
Prof. Susanta Mahapatra,University of Hyderabad,uohyd.ac.in,3215,Chemical Physics Physical Chemistry,https://scholar.google.com/citations?hl=en&user=SRcO9tMAAAAJ
Dr. Sukhmeen Kohli,University of Hyderabad,Not Mentioned,3106,Plant Stress Physiology,https://scholar.google.com/citations?hl=en&user=vJ759bgAAAAJ
M Ghanashyam Krishna,University of Hyderabad,uohyd.ac.in,3022,Nanostructured and functional thin films,https://scholar.google.com/citations?hl=en&user=8cx53RcAAAAJ
Aruna Sree M Kalle,University of Hyderabad,uohyd.ac.in,2972,Epigenetics & Drug Discovery,https://scholar.google.com/citations?hl=en&user=QHIiHiQAAAAJ
Sachin Bhalekar,"School of Mathematics and Statistics, University of Hyderabad, India",uohyd.ac.in,2951,Chaos theory | Fractional Calculus,https://scholar.google.com/citations?hl=en&user=BMDsIGwAAAAJ
Dr. MK Arunasree,University of Hyderabad,uohyd.ac.in,2938,Epigenetics | cancer drug and antibiotic resistance,https://scholar.google.com/citations?hl=en&user=x_-GOqsAAAAJ
Dr. S. Srinath,"Professor, School of Physics, University of Hyderabad",uohyd.ac.in,2936,Magnetism | Multiferroics | Oxides | Nanomaterials | Thin films,https://scholar.google.com/citations?hl=en&user=cp-4O_wAAAAJ
Rajagopal Subramanyam,University of Hyderabad,uohyd.ernet.in,2932,Plant Biochemistry | Protein-Ligand Interactions,https://scholar.google.com/citations?hl=en&user=KIsZcL0AAAAJ
Anand Pathak,"University of Hyderabad , India",uohyd.ernet.in,2823,Atomic Collisions in Solids | Ion Beam Studies of nanoMaterials.,https://scholar.google.com/citations?hl=en&user=9o8quJAAAAAJ
Jagan Pongubala,University of Hyderabad,Not Mentioned,2813,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xfCA5joAAAAJ
Suneel Singh,"Professor of Physics, University of Hyderabad",uohyd.ernet.in,2812,Quantum Optics,https://scholar.google.com/citations?hl=en&user=c0CtW6YAAAAJ
Anand Kondapi,University of Hyderabad,uohyd.ac.in,2800,Molecular Therapeutics | HIV | Cancer | Neuronal aging | nanoformulations,https://scholar.google.com/citations?hl=en&user=MfXEb-EAAAAJ
Bhatnagar Anil K.,"University of Hyderabad, Hyderabad 500046, India",uohyd.ernet.in,2789,Magnetic Materials | Superconductors | Thin films | Glasses,https://scholar.google.com/citations?hl=en&user=uRA5uesAAAAJ
Nirmal K Viswanathan,"Professor of Physics, University of Hyderabad",uohyd.ac.in,2775,Optics and Photonics,https://scholar.google.com/citations?hl=en&user=SGxMhg4AAAAJ
NH Rao,"… KL Rao Chair Professor, University of Hyderabad, & Joint Director, NAARM, Hyderabad",Not Mentioned,2703,Agricultural water management | Geospatial technologies | research management | agribusiness management,https://scholar.google.com/citations?hl=en&user=r4InCdoAAAAJ
KS Krishna,"… of Geophysics, Centre for Earth, Ocean and Atmospheric Sciences, University of Hyderabad",nio.org,2653,Lithospheric dynamics | Tectonics | Plate Tectonics | Marine Geophysics,https://scholar.google.com/citations?hl=en&user=fzDwk8kAAAAJ
Arun Pujari,University of Hyderabad,uohyd.ac.in,2609,Machine Learning | AI | Data Mining | Combinatorial Algorithm,https://scholar.google.com/citations?hl=en&user=AdOQPZgAAAAJ
Bramanandam Manavathi,Professor at University of Hyderabad,Not Mentioned,2578,Cancer Biology,https://scholar.google.com/citations?hl=en&user=MDSj4UMAAAAJ
Prof. MV Rajasekharan,University of Hyderabad,uohyd.ac.in,2554,Inorganic chemistry,https://scholar.google.com/citations?hl=en&user=r6JEgS4AAAAJ
Alok Singh,"Professor, School of Computer & Information Sciences, University of Hyderabad",uohyd.ernet.in,2527,Combinatorial Optimization using Heuristic & …,https://scholar.google.com/citations?hl=en&user=Pu_r-v8AAAAJ
BVR Tata,"Professor,  School of Physics, University of Hyderabad, Gachibowli, Hyderabad-46 …",uohyd.ac.in,2372,Structure | Dynamics and Phase transitions in Colloids … | Photonic crystals | Rheology | Computer Simulations,https://scholar.google.com/citations?hl=en&user=JbRN_RIAAAAJ
Dr. Suresh Yenugu,University of Hyderabad,uohyd.ac.in,2372,Not Mentioned,https://scholar.google.com/citations?hl=en&user=AKK4AFgAAAAJ
Dibakar Das,"School of Engineering Sciences and Technology, University of Hyderabad, IIT Bombay",uohyd.ernet.in,2366,ceramics,https://scholar.google.com/citations?hl=en&user=gKy8OzoAAAAJ
