Gary M. Gaukler,Claremont Graduate University,cgu.edu,1518,Analytics | Operations | Supply Chain Management | RFID | Homeland Security,https://scholar.google.com/citations?hl=en&user=-xX-PMIAAAAJ
Thomas F. Luschei,"Professor of Education, Claremont Graduate University",cgu.edu,1510,International Comparative Education | Teacher Quality | Teacher Labor Markets | Bilingual Education,https://scholar.google.com/citations?hl=en&user=8CPqgq4AAAAJ
Jean Schroedel,Claremont Graduate University,cgu.edu,1448,women and elections | voting rights | fetal policy | presidential rhetori | racial/ethnic politics,https://scholar.google.com/citations?hl=en&user=YOP0aBAAAAAJ
Linda Perkins,CLAREMONT GRADUATE UNIVERSITY,cgu.edu,1357,History of Black Women's Higher Education | History of Black Higher Education,https://scholar.google.com/citations?hl=en&user=9l5d8ocAAAAJ
Ted Trzyna or Thaddeus C. Trzyna,"Senior Research Fellow, Claremont Graduate University and President, InterEnvironment …",InterEnvironment.org,1155,Environmental policy | nature conservation | international politics,https://scholar.google.com/citations?hl=en&user=O80NvAcAAAAJ
Tyler Reny,Claremont Graduate University,cgu.edu,985,computational social science | racial and ethnic politics | public opinion | R stats | methodology,https://scholar.google.com/citations?hl=en&user=KTbztQUAAAAJ
Heather E. Campbell,Claremont Graduate University,cgu.edu,932,Public Policy Analysis | Urban Environmental Policy | Environmental Justice | Regulation | Methods,https://scholar.google.com/citations?hl=en&user=sxnbV5IAAAAJ
Emilie Mitescu Reagan,"Associate Professor of Education, Claremont Graduate University",cgu.edu,927,Teacher Education Policy and Practice | Social Justice Oriented Teacher Preparation | Accountability | Assessment | Mixed Methods,https://scholar.google.com/citations?hl=en&user=zFkRKn0AAAAJ
Gregory DeAngelo,"Associate Professor of Economics, Claremont Graduate University",cgu.edu,828,computational justice | law and economics | policing | prosecution,https://scholar.google.com/citations?hl=en&user=PARJssAAAAAJ
Coral Bruni,Claremont Graduate University,cgu.edu,811,Conservation Psychology | Connectedness with Nature | Implicit,https://scholar.google.com/citations?hl=en&user=HELKY3wAAAAJ
Joshua Tasoff,"Associate Professor of Economics, Claremont Graduate University",cgu.edu,694,Behavioral Economics | Exponential-Growth Bias | Belief-Based Utility | Vegan Economics,https://scholar.google.com/citations?hl=en&user=pyjguMoAAAAJ
Andrew Vosko,Claremont Graduate University,cgu.edu,679,Transdisciplinarity and Interdisciplinarity | Interprofessional Education | Health Sciences Ed. | Neuroscience | Circadian Rhythms,https://scholar.google.com/citations?hl=en&user=YftrUB8AAAAJ
Javier M. Rodriguez,Claremont Graduate University,cgu.edu,636,Not Mentioned,https://scholar.google.com/citations?hl=en&user=XaavWNoAAAAJ
Eric Houston,Claremont Graduate University,cgu.edu,577,Psychology | Cognition | Emotion Regulation | HIV | Health Disparities,https://scholar.google.com/citations?hl=en&user=56e9c8cAAAAJ
Eve Oishi,Claremont Graduate University,cgu.edu,576,Asian American studies | Film and Media studies | American studies | queer studies | experimental media arts,https://scholar.google.com/citations?hl=en&user=R0CUAx0AAAAJ
Marina Chugunova,"Associate Professor of Mathematics, Claremont Graduate University",cgu.edu,563,Applied Mathematics,https://scholar.google.com/citations?hl=en&user=zKbPMHEAAAAJ
Melissa Rogers,"Associate Professor, Claremont Graduate University",cgu.edu,531,Political Science | Comparative Politics | International Politics,https://scholar.google.com/citations?hl=en&user=t4zgKlcAAAAJ
Mark Abdollahian,"Full Professor, Department of Politics & Economics, Claremont Graduate University",acertas-analytics.com,508,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_LBnNekAAAAJ
Nathan Roman,"Mental Training, Inc./Claremont Graduate University",cgu.edu,453,Sports Psychology/Talent Development,https://scholar.google.com/citations?hl=en&user=sFHuiZIAAAAJ
Tiffany Berry,Claremont Graduate University,cgu.edu,428,applied psychology | translational science | program evaluation | youth development,https://scholar.google.com/citations?hl=en&user=85gp6YgAAAAJ
Guan Saw,Claremont Graduate University,cgu.edu,417,Educational Inequality | STEM Education/Diversity | Research Methods,https://scholar.google.com/citations?hl=en&user=KRgY1UkAAAAJ
Nicola Denzey Lewis,"Margo L. Goldsmith Chair of Women's Studies in Religion, Claremont Graduate University",cgu.edu,414,early Christianity | Christianization | Gnosticism | social and cultural history of the Roman …,https://scholar.google.com/citations?hl=en&user=2IAR5okAAAAJ
Matthew Bowman,"History and Religion, Claremont Graduate University",cgu.edu,412,Religion | history | Mormonism | evangelicalism | New Religious Movements,https://scholar.google.com/citations?hl=en&user=7hMBPe0AAAAJ
Charles Young,"Professor of Philosophy, Claremont Graduate University",cgu.edu,405,Ancient Philosophy,https://scholar.google.com/citations?hl=en&user=6gn3TQsAAAAJ
Yan Li,Claremont Graduate University,cgu.edu,362,Machine Learning | NLP | mHealth | Decision Support Systems | ICT4D,https://scholar.google.com/citations?hl=en&user=Vz2LSjoAAAAJ
